城市,数据量,均价（元/月）,标准差（元/月）,最高价（元/月）,最低价（元/月）,中位数（元/月）,25%分位数（元/月）,75%分位数（元/月）
bj,86229,7415.29,9247.11,840000.0,400.0,5700.0,4311.0,7500.0
sh,52986,6702.68,6923.75,228500.0,500.0,5000.0,3876.0,7200.0
gz,113480,4073.1,4989.58,180000.0,300.0,3000.0,2100.0,4500.0
sz,46399,6768.02,9105.88,350000.0,520.0,5000.0,3000.0,7300.0
changde,5836,1525.55,1047.56,50000.0,150.0,1500.0,1000.0,1800.0
