城市,数据量,均价（元/㎡）,标准差（元/㎡）,最高价（元/㎡）,最低价（元/㎡）,中位数（元/㎡）,25%分位数（元/㎡）,75%分位数（元/㎡）
bj,86229,87.53,39.9,936.33,7.14,84.12,58.46,110.3
sh,52986,88.76,47.88,3400.0,1.4,82.85,58.28,110.92
gz,113480,50.63,32.26,1777.78,1.0,45.0,28.57,63.16
sz,46399,91.25,48.4,1232.5,1.45,79.65,58.46,109.59
changde,5836,18.72,65.01,3500.0,3.08,15.61,11.59,21.23
