房屋类型,数据量,均价（元/月）,标准差（元/月）,最高价（元/月）,最低价（元/月）,中位数（元/月）,25%分位数（元/月）,75%分位数（元/月）
一居,1304.0,1177.01,469.78,8000.0,150.0,1200.0,1000.0,1400.0
二居,1726.0,1314.94,516.35,4000.0,300.0,1200.0,1000.0,1500.0
三居,2007.0,1634.8,596.42,10000.0,400.0,1500.0,1200.0,2000.0
