房屋类型,数据量,均价（元/月）,标准差（元/月）,最高价（元/月）,最低价（元/月）,中位数（元/月）,25%分位数（元/月）,75%分位数（元/月）
一居,18763.0,5322.64,3087.54,90000.0,500.0,5000.0,3900.0,6000.0
二居,41882.0,6132.23,2977.51,58000.0,700.0,5800.0,4500.0,7200.0
三居,14872.0,9206.53,7251.3,180000.0,1000.0,7300.0,5000.0,11000.0
