区域,平均价格（元/月）
嘉定区,4311.086444668685
奉贤区,2820.606306306306
宝山区,4706.32044198895
崇明区,2329.284722222222
徐汇区,8928.044918998527
普陀区,7040.595770638471
杨浦区,7193.059061488673
松江区,5742.9396725079005
浦东新区,6349.726805536522
虹口区,7707.634859349145
金山区,2168.837338262477
长宁区,8990.283724631914
闵行区,6564.212539294446
青浦区,10881.246025738075
静安区,8512.991370383155
黄浦区,12696.517016654598
