区域,平均价格（元/月）
东城区,9344.102721088437
丰台区,6772.6905250806685
大兴区,4599.15693877551
密云区,2537.438340807175
平谷区,2600.0
延庆区,2283.3333333333335
怀柔区,3049.090909090909
房山区,3497.875038005473
昌平区,6042.078443483631
朝阳区,8792.808189897627
海淀区,8880.605187953397
石景山区,5745.916700528241
西城区,10037.742190937088
通州区,4639.406209781209
门头沟区,4287.594029850747
顺义区,6608.858633387888
