房屋类型,数据量,均价（元/月）,标准差（元/月）,最高价（元/月）,最低价（元/月）,中位数（元/月）,25%分位数（元/月）,75%分位数（元/月）
一居,25381.0,2902.24,3728.44,162000.0,300.0,2300.0,1600.0,3200.0
二居,30335.0,3413.77,1937.56,58000.0,700.0,3000.0,2300.0,4000.0
三居,41902.0,4083.78,3272.76,68000.0,720.0,3200.0,2300.0,5000.0
