房屋类型,数据量,均价（元/月）,标准差（元/月）,最高价（元/月）,最低价（元/月）,中位数（元/月）,25%分位数（元/月）,75%分位数（元/月）
一居,18744.0,4436.06,2027.03,50000.0,500.0,4200.0,3500.0,5000.0
二居,21637.0,6012.64,3607.01,80000.0,500.0,5200.0,4100.0,7000.0
三居,9730.0,8787.52,7021.85,110000.0,600.0,6800.0,4700.0,10000.0
