房屋类型,数据量,均价（元/月）,标准差（元/月）,最高价（元/月）,最低价（元/月）,中位数（元/月）,25%分位数（元/月）,75%分位数（元/月）
一居,13174.0,3525.36,3631.23,80000.0,520.0,2800.0,1980.0,4300.0
二居,9684.0,6001.82,3541.49,70000.0,900.0,5500.0,4000.0,7000.0
三居,13923.0,7440.44,5838.31,150000.0,1030.0,6200.0,4500.0,8200.0
